Date,Max Temp,Min Temp,Observed Temp,"Rain Melted, snow, etc","Snow, ice pellets, hail","Snow ice pellets, hail, ice on ground",RAIN GAUGE,Wind Direction,Wind Speed MPH,Sky Cover,Cloud Type,Notes
12/31/89,27,-4,22,0.14,1.5,21.5,,332,3.55,,,
12/30/89,25,-4,,0.08,,21,,122,4.37,,,
12/29/89,12,8,10,0,3,21.5,,84,2.26,2,Ci,
12/28/89,21,12,17,0.25,2,20,,54,3.05,8,St,
12/27/89,20,-12,12,0.01,0.5,19.5,,227,4.05,8,St,
12/26/89,12,-15,-12,0,2,20,,35,3.66,0,,
12/25/89,26,15,22,0.13,2,21,,303,6.52,8,Ns,
12/24/89,22,-11,21,0.05,4,22,,255,5.22,8,Ns,
12/23/89,19,-15,-11,0.03,0.25,18,,244,2.69,8,St,
12/22/89,8,-16,-10,0,T,19,,277,1.33,8,Sc,
12/21/89,3,-11,-11,0,2.75,21,,339,2.6,0,,
12/20/89,8,3,3,0.16,6.5,21,,306,3.38,0,,
12/19/89,16,10,13,0.31,3.5,16,,256,2.07,8,Ns,
12/18/89,19,6,10,0.11,0.5,13,,225,2.02,8,St,
12/17/89,22,13,16,0.02,0.5,13,,233,3.12,8,St,
12/16/89,21,-10,13,0,T,13,,286,4.09,7,Sc,
12/15/89,13,8,8,0.06,1.5,13,,34,4.2,8,Cs,
12/14/89,15,5,11,0.03,0.5,11.5,,97,4.18,2,Sc,
12/13/89,15,-9,5,0,,11,,111,2.97,6,Sc,
12/12/89,15,-9,-9,0,0.75,11,,122,2.3,0,,
12/11/89,10,5,5,0,,11,,43,2.85,2,Sc,
12/10/89,26,18,26,0.02,,,,331,6.64,,,
12/9/89,28,8,18,0.04,0.5,11,,199,4.8,8,Sc,
12/8/89,22,8,8,T,T,11,,249,2.95,0,,
12/7/89,19,14,15,0,,11,,314,4.54,8,St,
12/6/89,26,21,26,0.03,0.5,11.5,,336,7.86,8,St,
12/5/89,34,12,21,0.01,,12,,231,2.42,8,St,
12/4/89,24,7,15,T,0.5,13,,167,3.97,8,Sc,
12/3/89,15,7,7,0,3.5,14,,11,5.05,6,Cu,
12/2/89,32,22,32,0.25,0.75,10.75,,347,7.37,8,Sc,
12/1/89,33,18,22,0,2,12,,143,4,8,Ns,
11/30/89,26,17,26,0.05,2,10,,336,4.12,8,St,
11/29/89,33,14,17,0.04,0.75,8.5,,265,4.8,8,Sc,
11/28/89,22,22,22,,3,8,,356,5.59,8,Ns,
11/27/89,28,27,27,,,5,,129,4.34,8,,
11/26/89,35,30,30,0,,5,,302,4.17,3,Cu,
11/25/89,45,31,34,0,,7.5,,260,4.02,7,Ci,
11/24/89,34,18,34,0.02,2.75,9,,235,4.19,2,Ci,
11/23/89,26,9,22,0.1,1,7,,267,5.21,8,Sc,
11/22/89,24,18,20,0,T,6.5,,337,5.52,8,St,bay frozen over
11/21/89,23,21,21,0,T,6.5,,4,5.78,8,Sc,
11/20/89,43,24,38,0.09,,8.5,,326,10.48,8,Sc,
11/19/89,43,20,24,0.25,0.5,13,,251,7.39,6,Cu,
11/18/89,24,18,19,0.03,9,17,,291,4.43,8,St,
11/17/89,23,18,19,0.37,3.5,11,,290,4.55,8,Ns,
11/16/89,26,26,26,0.66,10,10,,354,11.7,8,Ns,snow - blowing and drifting
11/15/89,36,36,36,0.2,,,,44,5.11,8,Ns,rain - snow
11/14/89,42,39,40,0,,,,63,3.82,8,Ns,
11/13/89,49,32,39,0,,0,,133,4.23,8,St,
11/12/89,39,31,32,0.04,0.5,0.5,,309,5.36,2,Cu,
11/11/89,45,33,43,0.16,,,,293,9.07,6,Sc,
11/10/89,43,34,37,0.09,,,,292,5.56,8,Sc,
11/9/89,41,35,38,0.23,,,,264,3.24,8,Sc,
11/8/89,44,32,36,0.02,,,,163,3.76,8,St,
11/7/89,46,37,37,0,,,,185,2.52,8,St,
11/6/89,42,39,39,0.06,,,,297,5.59,8,Sc,
11/5/89,48,31,40,0.3,,0,,197,4.71,8,Ns,rain
11/4/89,40,21,31,0.15,1.5,1.5,,188,6.06,8,Ns,
11/3/89,35,21,21,0,0,0,,129,4.15,0,,
