UMB,Max Temp,Min Temp,Observed Temp,"Rain Melted, snow, etc","Snow, ice pellets, hail","Snow ice pellets, hail, ice on ground",RAIN GAUGE,Wind Direction,Wind Speed MPH,Sky Cover,Cloud Type,Notes,,,,,,,
12/31/16,32,22,25,0.22,4,11.5,0.29,,,8,Sc,,,,,,,,
12/30/16,27,20,25,0.04,1,9,0.07,,,,,,,,,,,,
12/29/16,34,21,32,0.02,0,0,0.05,,,6,St,,,,,,,,
12/28/16,35,21,24,0.01,0.5,8,0.01,,,8,St,,,,,,,,
12/27/16,28,21,26,0,,7.5,0.01,,,8,St,,,,,,,,
12/26/16,47,21,36,0.41,0,,0.4,,,6,St,,,,,,,,
12/25/16,36,21,25,0.02,0,,0,,,8,St,,,,,,,,
12/24/16,39,25,34,0.07,0.75,11.5,0.03,,,8,St,,,,,,,,
12/23/16,41,25,32,0.08,0,,0.12,,,1,Ci,,,,,,,,
12/22/16,39,27,33,0,1,13.25,0,,,7,Sc,,,,,,,,
12/21/16,38,24,29,0.05,0,13.5,0.08,,,3,As,,,,,,,,
12/20/16,38,9,25,0,0.25,16.25,0.01,,,5,Sc,,,,,,,,
12/19/16,25,8,10,0.19,6.75,20,0.18,,,5,Sc,,,,,,,,
12/18/16,12,1,10,0.17,3.75,16,0.18,,,8,Sc,,,,,,,,
12/17/16,24,12,13,0.3,8.75,16.25,0.3,,,8,Sc,,,,,,,,
12/16/16,21,13,16,0.32,0.5,8.75,0.35,,,5,Sc,Averaging daily snowfall from multiple sites starting today,,,,,,,
12/15/16,19,8,14,0.04,1,7.5,0.04,,,6,Cu,Ice on most of SFB covered,,,,,,,
12/14/16,16,12,15,0.2,9,10.25,0.28,,,8,Sc,Mostly drift for daily snow,,,,,,,
12/13/16,23,22,23,0.17,6.5,8.5,0.23,,,8,Sc,Much of snowfall is drift,,,,,,,
12/12/16,33,17,27,0.02,1.5,8.5,0.01,,,8,Sc,Ice broken up,,,,,,,
12/11/16,27,16,18,0.11,5,8.75,0.013,,,8,Sc,,,,,,,,
12/10/16,22,19,20,0.2,2.75,4.75,0.29,,,5,Sc,,,,,,,,
12/9/16,27,22,24,0.1,0.25,2.5,0.12,,,8,Sc,First ice on lake,,,,,,,
12/8/16,32,25,27,0.1,2.5,3,0.16,,,8,Sc,,,,,,,,
12/7/16,31,31,31,0.05,0,0.5,0.06,,,7,Cu,,,,,,,,
12/6/16,40,30,32,0,0,1.5,0.03,,,7,ST,,,,,,,,
12/5/16,39,31,34,0.26,3,3,,,,8,Ns,ETI raingage damaged,,,,,,,
12/4/16,37,33,35,0.23,0,0,,,,7,Sc,ETI raingage damaged,,,,,,,
12/3/16,39,34,36,0,0,0,,,,7,Sc,ETI raingage damaged,,,,,,,
12/2/16,39,33,35,0.04,0,0,,,,7,Sc,ETI raingage damaged,,,,,,,
12/1/16,41,37,38,0.16,0,0,,,,7,Sc,ETI raingage damaged,,,,,,,
11/30/16,50,36,39,0,0,0,,,,2,Sc,ETI raingage damaged,,,,,,,
11/29/16,52,32,44,0.26,0,0,0.21,,,3,Cs,ETI raingage damaged,,,,,,,
11/28/16,47,30,38,0.31,0,0,0.26,,,8,Ns,ETI raingage damaged,,,,,,,
11/27/16,42,29,31,0,0,0,0,,,2,Sc,ETI raingage damaged,,,,,,,
11/26/16,40,33,36,0.07,0,0,0.02,,,8,Sc,ETI raingage damaged,,,,,,,
11/25/16,39,34,38,0.05,0,0,0.03,,,8,Sc,ETI raingage damaged,,,,,,,
11/24/16,38,29,36,0.21,1.75,3,0.17,,,8,Sc,ETI raingage damaged,,,,,,,
11/23/16,36,25,30,0.18,0,1.5,0.2,,,7,Sc,ETI raingage damaged,,,,,,,
11/22/16,32,26,28,0,0,1.5,NA,,,7,Cu,ETI raingage damaged,,,,,,,
11/21/16,32,25,27,0,0,1.5,NA,,,4,Cu,ETI raingage damaged,,,,,,,
11/20/16,29,25,27,0,0,1.5,NA,,,3,Cu,ETI raingage damaged,,,,,,,
11/19/16,37,35,37,0.13,1,1.5,NA,,,,,ETI raingage damaged,,,,,,,
11/18/16,67,39,49,0,,,0,,,6,Ac,ETI raingage damaged,,,,,,,
11/17/16,62,35,41,0,,,0,,,6,Ac,,,,,,,,
11/16/16,50,45,46,0,,,0,,,8,Cu,,,,,,,,
11/15/16,50,40,46,0.02,,,0.02,,,8,Cu,,,,,,,,
11/14/16,57,44,45,0,,,0,,,8,Sc,Thermochron,,,,,,,
11/13/16,55,30,44,0,,,0,,,,,Thermochron,,,,,,,
11/12/16,49,28,29,0,,,0,,,,,Thermochron,,,,,,,
11/11/16,42,39,40,0,,,0,,,6,Cu,,,,,,,,
11/10/16,61,34,48,0,,,0,,,,,,,,,,,,
11/9/16,51,33,36,0,,,0,,,2,Ac,,,,,,,,
11/8/16,53,44,53,0,,,0,,,8,Ns,,,,,,,,
11/7/16,64,43,45,0,,,0,,,0,,,,,,,,,
11/6/16,63,37,37,0,,,0,,,0,,,,,,,,,
11/5/16,62,45,45,0,,,0,,,0,,,,,,,,,
11/4/16,57,37,40,0,,,0,,,5,Cu,,,,,,,,
11/3/16,53,42,47,0.02,,,0.04,,,7,Cu,,,,,,,,
11/2/16,53,40,44,0,,,0,,,7,Sc,,,,,,,,
11/1/16,67,38,55,0,,,0,,,8,Cu,,,,,,,,
10/31/16,55,36,37,0,,,0,,,7,Cu,,,,,,,,
10/30/16,48,41,41,0.01,,,0.02,,,,,Thermochron,,,,,,,
10/29/16,54,48,54,0.06,,,0.03,,,,,Thermochron,,,,,,,
10/28/16,60,32,41,0.03,,,0.01,,,8,Sc,,,,,,,,
10/27/16,43,33,40,0.24,,,0.24,,,8,Ns,,,,,,,,
10/26/16,43,32,34,0,,,0.04,,,2,Cu,First frost,,,,,,,
10/25/16,45,40,42,0,,,0,,,7,Cu,,,,,,,,
10/24/16,47,40,43,0.01,,,0.05,,,5,Cu,,,,,,,,
10/23/16,54,39,42,0.05,,,0.01,,,,,,,,,,,,
10/22/16,47,38,40,0,,,0,,,,,,,,,,,,
10/21/16,47,42,46,0,,,0,,,8,Cu,Barometer out of ink,,,,,,,
10/20/16,50,46,49,0,,,0,,,7,Sc,,,,,,,,
10/19/16,63,48,50,0,,,0,,,,,Clouds not visible for fog,,,,,,,
10/18/16,60,54,60,0,,,0,,,8,Ns,,,,,,,,
10/17/16,71,49,55,0.79,,,0.74,,,8,Cn,,,,,,,,
10/16/16,66,48,60,0.02,,,0.02,,,4,As,,,,,,,,
10/15/16,64,39,50,0.02,,,0.04,,,4,As,,,,,,,,
