"Date","Time","Max_Temperature","Min_Temperature","Current_Temperature","Precipitation_Belfort","Precipitation_ETI","Snowfall","Snow_On_Ground","Sky_Cover","Cloud_Type","Notes","Flag_Max_Temperature","Flag_Min_Temperature","Flag_Current_Temperature","Flag_Precipitation_Belfort","Flag_Precipitation_ETI","Flag_Snowfall","Flag_Snow_On_Ground"
"1980-01-01",NA,32,27,32,0,NA,NA,3,8,"STRATUS","LAKE ICE VERY SMOOTH. CAN SKATE EASILY",NA,NA,NA,NA,NA,NA,NA
"1980-01-02",NA,26,22,26,0,NA,NA,3,8,"STRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-03",NA,16,11,12,0,NA,NA,3,8,"STRATUS","ICE BOOMING STILL",NA,NA,NA,NA,NA,NA,NA
"1980-01-04",NA,23,2,2,0,NA,NA,3,0,NA,"MOON STILL BRIGHT",NA,NA,NA,NA,NA,NA,NA
"1980-01-05",NA,22,1,18,0.02,NA,0.25,3,1,"CUMULUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-06",NA,23,7,19,0.41,NA,NA,3,8,"STRATUS","GOOD FROST",NA,NA,NA,NA,NA,NA,NA
"1980-01-07",NA,27,17,18,0.3,NA,6.5,10.5,8,"NIMBOSTRATUS","STILL SNOWING; PRECIPITOUS DROP IN BAR YESTERDAY",NA,NA,NA,NA,NA,NA,NA
"1980-01-08",NA,16,13,16,0.27,NA,11,19.5,8,"NIMBOSTRATUS","STILL SNOWING",NA,NA,NA,NA,NA,NA,NA
"1980-01-09",NA,16,1,6,0.02,NA,4,18,5,"CUMULUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-10",NA,30,5,6,0.12,NA,1,16.5,6,"CIRROCUMULUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-11",NA,45,6,41,0.23,NA,NA,13,8,"NIMBOSTRATUS","RAIN OVERNIGHT",NA,NA,NA,NA,NA,NA,NA
"1980-01-12",NA,24,3,15,0.01,NA,0.75,11,7,"CUMULUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-13",NA,36,14,27,0.02,NA,0.25,11,8,"STRATOCUMULUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-14",NA,32,27,33,0,NA,0.25,11,8,"STRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-15",NA,36,20,30,0,NA,NA,11,8,"STRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-16",NA,38,30,35,0.47,NA,NA,10.5,8,"NIMBOSTRATUS","RAINING",NA,NA,NA,NA,NA,NA,NA
"1980-01-17",NA,39,33,38,0.42,NA,NA,8,8,"NIMBOSTRATUS","STILL RAINING",NA,NA,NA,NA,NA,NA,NA
"1980-01-18",NA,30,31,31,0.05,NA,0.5,8,8,"NIMBOSTRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-19",NA,30,28,29,0,NA,NA,8,7,"STRATOCUMULUS",NA,NA,NA,NA,NA,NA,"T",NA
"1980-01-20",NA,27,20,21,0.04,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-21",NA,33,14,14,0,NA,NA,7.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-22",NA,30,14,29,0.25,NA,2.5,10,8,"NIMBOSTRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-23",NA,8,5,7,0,NA,2,11,8,"STRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-24",NA,17,-3,-3,0.02,NA,0.5,11,0,NA,"CLEAR AND COLD",NA,NA,NA,NA,NA,NA,NA
"1980-01-25",NA,18,-4,6,0.01,NA,NA,10.5,4,"CUMULUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-26",NA,23,5,20,0.02,NA,NA,10,8,"STRATUS","LIGHTLY SNOWING",NA,NA,NA,NA,NA,"T",NA
"1980-01-27",NA,24,17,20,0.11,NA,2.5,12,8,"NIMBOSTRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-28",NA,22,1,7,0.03,NA,1.5,13,8,"STRATOCUMULUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-01-29",NA,18,4,9,0,NA,NA,12.5,8,"STRATUS",NA,NA,NA,NA,NA,NA,"T",NA
"1980-01-30",NA,10,-11,-11,0,NA,NA,12,0,NA,"CLEAR AND COLD",NA,NA,NA,NA,NA,NA,NA
"1980-01-31",NA,10,-13,-8,0,NA,NA,12,1,"CIRRUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-01",NA,12,-10,-9,0,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-02",NA,12,-12,5,0,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-03",NA,14,-14,14,0,NA,NA,11.5,2,"CUMULUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-04",NA,18,-3,-1,0,NA,NA,11.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-05",NA,19,-11,-11,0,NA,NA,11.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-06",NA,18,-12,6,0,NA,NA,11,4,"CIRROSTRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-07",NA,25,-6,-6,0,NA,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-08",NA,24,-6,-6,0,NA,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-09",NA,22,-7,5,0.01,NA,NA,11,3,"CIRRUS",NA,NA,NA,NA,NA,NA,"T",NA
"1980-02-10",NA,27,-2,12,0.03,NA,NA,11,8,"STRATUS",NA,NA,NA,NA,NA,NA,"T",NA
"1980-02-11",NA,26,12,17,0.03,NA,1,12,8,"NIMBOSTRATUS",NA,NA,NA,NA,NA,NA,NA,NA
"1980-02-12",NA,27,3,3,0,NA,NA,12,0,NA,"FOG ON LAKE",NA,NA,NA,NA,NA,NA,NA
